detector_id,correlation,correlation_ma
10073002[D1_2B],0.447,0.619
10073004[D3_1B],0.165,0.260
10073005[D3_2B],-0.018,0.349
10073008[D5_1B],0.036,0.173
10074001,0.250,0.621
10074002,nan,nan
10074004,-0.338,-0.354
10074005,0.056,0.510
10074006,0.327,0.564
10074009,-0.473,-0.373
10075011[D1_1B],0.334,0.471
10075012[D1_2B],0.403,0.629
10075013[D2_1B],0.438,0.483
10075014[D2_2B],0.546,0.758
10075015[D3_2B],0.277,0.498
10077001,0.478,0.692
10077002,0.360,0.472
10077002[IDP2],0.639,0.694
10077003,-0.661,-0.663
10077004,0.682,0.817
10077005,0.487,0.767
10077007,0.391,0.572
10078002[Video1],0.175,0.364
10078004[Video3],0.062,0.074
10078007[1-1x],0.916,0.946
10078009[1-3x],0.877,0.920
1008,0.676,0.769
1008-E,0.503,0.508
1008-N,0.805,0.810
1008-S,0.691,0.694
1008-W,0.327,0.328
10080001,0.068,0.243
10080002,0.199,0.441
10080003,-0.216,-0.142
10080004,-0.006,-0.113
10080005,0.119,0.392
10080006,-0.097,0.031
10080007,-0.221,-0.155
10080008,-0.322,-0.491
10080009,-0.326,-0.158
10082012[D2_1B],0.352,0.510
10085012[D3_1B],0.340,0.481
10085013[D3_2B],0.430,0.502
10085014[D4_2B],0.199,0.490
10087001,-0.283,-0.198
10087002,-0.313,-0.262
10087003,-0.013,0.111
10087004,-0.116,-0.085
10087005,-0.015,0.010
10087006,-0.682,-0.610
10087007,0.298,0.423
10087008,0.082,0.284
10087009,-0.032,0.071
10089004[D5_1A],0.054,0.196
10089005[D6_1B],0.411,0.506
10089006[D6_1C],0.818,0.854
10089007[D8_1B],0.060,0.234
10089008[D8_1C],0.936,0.973
1009,-0.150,-0.117
10091001[D1_1B],0.470,0.802
10091002[D3_1B],0.709,0.713
10092001,0.098,0.358
10092002,0.172,0.444
10092003[D1_1B],0.667,0.809
10092004,0.606,0.756
10092004[D2_1B],0.527,0.576
10092006,-0.241,-0.483
10092007,0.064,0.300
10092008,-0.046,-0.205
10092009,0.189,0.307
10093003[D1_1B],0.238,0.338
10093004[D2_1B],0.590,0.742
10094003[D1_1B],0.552,0.693
